,Buy,Sell,Type
83,2012-12-30T00:00:00.000000000,2013-01-02T00:00:00.000000000,1
84,2012-12-31T00:00:00.000000000,2013-01-03T00:00:00.000000000,1
85,2013-03-28T00:00:00.000000000,2013-03-31T00:00:00.000000000,1
86,2013-03-31T00:00:00.000000000,2013-04-03T00:00:00.000000000,1
87,2013-04-30T00:00:00.000000000,2013-05-03T00:00:00.000000000,1
88,2013-10-02T00:00:00.000000000,2013-10-05T00:00:00.000000000,1
89,2013-12-23T00:00:00.000000000,2013-12-26T00:00:00.000000000,1
90,2013-12-24T00:00:00.000000000,2013-12-27T00:00:00.000000000,1
91,2013-12-25T00:00:00.000000000,2013-12-28T00:00:00.000000000,1
92,2013-12-30T00:00:00.000000000,2014-01-02T00:00:00.000000000,1
93,2013-12-31T00:00:00.000000000,2014-01-03T00:00:00.000000000,1
94,2014-04-17T00:00:00.000000000,2014-04-20T00:00:00.000000000,1
95,2014-04-20T00:00:00.000000000,2014-04-23T00:00:00.000000000,1
96,2014-04-30T00:00:00.000000000,2014-05-03T00:00:00.000000000,1
97,2014-10-02T00:00:00.000000000,2014-10-05T00:00:00.000000000,1
98,2014-12-23T00:00:00.000000000,2014-12-26T00:00:00.000000000,1
99,2014-12-24T00:00:00.000000000,2014-12-27T00:00:00.000000000,1
100,2014-12-25T00:00:00.000000000,2014-12-28T00:00:00.000000000,1
101,2014-12-30T00:00:00.000000000,2015-01-02T00:00:00.000000000,1
102,2014-12-31T00:00:00.000000000,2015-01-03T00:00:00.000000000,1
103,2015-04-02T00:00:00.000000000,2015-04-05T00:00:00.000000000,1
104,2015-04-05T00:00:00.000000000,2015-04-08T00:00:00.000000000,1
105,2015-04-30T00:00:00.000000000,2015-05-03T00:00:00.000000000,1
106,2015-05-24T00:00:00.000000000,2015-05-27T00:00:00.000000000,1
107,2015-12-23T00:00:00.000000000,2015-12-26T00:00:00.000000000,1
108,2015-12-24T00:00:00.000000000,2015-12-27T00:00:00.000000000,1
109,2015-12-30T00:00:00.000000000,2016-01-02T00:00:00.000000000,1
110,2015-12-31T00:00:00.000000000,2016-01-03T00:00:00.000000000,1
111,2016-03-24T00:00:00.000000000,2016-03-27T00:00:00.000000000,1
112,2016-03-27T00:00:00.000000000,2016-03-30T00:00:00.000000000,1
113,2016-05-15T00:00:00.000000000,2016-05-18T00:00:00.000000000,1
114,2016-10-02T00:00:00.000000000,2016-10-05T00:00:00.000000000,1
115,2016-12-25T00:00:00.000000000,2016-12-28T00:00:00.000000000,1
116,2017-04-13T00:00:00.000000000,2017-04-16T00:00:00.000000000,1
117,2017-04-16T00:00:00.000000000,2017-04-19T00:00:00.000000000,1
118,2017-04-30T00:00:00.000000000,2017-05-03T00:00:00.000000000,1
119,2017-06-04T00:00:00.000000000,2017-06-07T00:00:00.000000000,1
120,2017-10-02T00:00:00.000000000,2017-10-05T00:00:00.000000000,1
121,2017-10-30T00:00:00.000000000,2017-11-02T00:00:00.000000000,1
122,2017-12-24T00:00:00.000000000,2017-12-27T00:00:00.000000000,1
123,2017-12-25T00:00:00.000000000,2017-12-28T00:00:00.000000000,1
124,2017-12-31T00:00:00.000000000,2018-01-03T00:00:00.000000000,1
125,2018-03-29T00:00:00.000000000,2018-04-01T00:00:00.000000000,1
126,2018-04-01T00:00:00.000000000,2018-04-04T00:00:00.000000000,1
127,2018-04-26T00:00:00.000000000,2018-04-29T00:00:00.000000000,1
128,2018-04-30T00:00:00.000000000,2018-05-03T00:00:00.000000000,1
129,2018-05-20T00:00:00.000000000,2018-05-23T00:00:00.000000000,1
130,2018-07-05T00:00:00.000000000,2018-07-08T00:00:00.000000000,1
131,2018-07-12T00:00:00.000000000,2018-07-15T00:00:00.000000000,1
132,2018-08-09T00:00:00.000000000,2018-08-12T00:00:00.000000000,1
133,2018-09-10T00:00:00.000000000,2018-09-13T00:00:00.000000000,1
134,2018-09-23T00:00:00.000000000,2018-09-26T00:00:00.000000000,1
135,2018-10-02T00:00:00.000000000,2018-10-05T00:00:00.000000000,1
136,2018-10-09T00:00:00.000000000,2018-10-12T00:00:00.000000000,1
137,2018-10-24T00:00:00.000000000,2018-10-27T00:00:00.000000000,1
138,2018-11-05T00:00:00.000000000,2018-11-08T00:00:00.000000000,1
139,2018-12-23T00:00:00.000000000,2018-12-26T00:00:00.000000000,1
140,2018-12-24T00:00:00.000000000,2018-12-27T00:00:00.000000000,1
141,2018-12-25T00:00:00.000000000,2018-12-28T00:00:00.000000000,1
142,2018-12-30T00:00:00.000000000,2019-01-02T00:00:00.000000000,1
143,2018-12-31T00:00:00.000000000,2019-01-03T00:00:00.000000000,1
144,2019-04-18T00:00:00.000000000,2019-04-21T00:00:00.000000000,1
145,2019-04-21T00:00:00.000000000,2019-04-24T00:00:00.000000000,1
146,2019-04-30T00:00:00.000000000,2019-05-03T00:00:00.000000000,1
147,2019-06-09T00:00:00.000000000,2019-06-12T00:00:00.000000000,1
148,2019-10-02T00:00:00.000000000,2019-10-05T00:00:00.000000000,1
149,2019-10-09T00:00:00.000000000,2019-10-12T00:00:00.000000000,1
150,2019-10-10T00:00:00.000000000,2019-10-13T00:00:00.000000000,1
151,2019-10-13T00:00:00.000000000,2019-10-16T00:00:00.000000000,1
